country,day,installs,cost,ad_revenue,revenue
Canada,2025-08-18,0,0.0,0.1563,0.0
United Kingdom,2025-08-18,0,0.0,1.4738,0.0
United States,2025-08-18,1,0.0,8.3012,0.0
Australia,2025-08-19,0,0.0,0.0696,0.0
Canada,2025-08-19,0,0.0,0.0803,0.0
United Kingdom,2025-08-19,0,0.0,1.3677,5.39
United States,2025-08-19,0,0.0,7.079,0.0
Australia,2025-08-20,0,0.0,0.0424,0.0
Canada,2025-08-20,0,0.0,0.0786,0.0
United Kingdom,2025-08-20,0,0.0,0.6478,0.0
United States,2025-08-20,0,0.0,3.3986,0.0
Australia,2025-08-21,0,0.0,0.0846,0.0
Canada,2025-08-21,0,0.0,0.0512,0.0
United Kingdom,2025-08-21,0,0.0,0.7642,0.0
United States,2025-08-21,0,0.0,3.5602,0.0
Australia,2025-08-22,0,0.0,0.1058,0.0
United Kingdom,2025-08-22,0,0.0,1.0456,0.0
United States,2025-08-22,0,0.0,2.9531,0.0
Australia,2025-08-23,0,0.0,0.1263,0.0
Canada,2025-08-23,0,0.0,0.2005,0.0
United Kingdom,2025-08-23,0,0.0,0.4773,0.0
United States,2025-08-23,0,0.0,2.0871,0.0
Australia,2025-08-24,0,0.0,0.2197,0.0
Canada,2025-08-24,0,0.0,0.1439,0.0
United Kingdom,2025-08-24,0,0.0,0.3836,0.0
United States,2025-08-24,0,0.0,1.9583,0.0
Australia,2025-08-25,0,0.0,0.2163,0.0
Canada,2025-08-25,0,0.0,0.023,0.0
Iraq,2025-08-25,0,0.0,0.0031,0.0
United Kingdom,2025-08-25,0,0.0,0.6106,0.0
United States,2025-08-25,0,0.0,1.0756,0.0
Australia,2025-08-26,0,0.0,0.038,0.0
Canada,2025-08-26,0,0.0,0.0138,0.0
United Kingdom,2025-08-26,0,0.0,0.0315,0.0
United States,2025-08-26,0,0.0,0.8655,0.0
